INFO   | jvm 1    | 2014/10/17 11:10:13 | 2014-10-17 11:10:12,640 DEBUG (java.sql.PreparedStatement:27) - {pstm-100069} Executing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:13 | 2014-10-17 11:10:12,640 DEBUG (java.sql.PreparedStatement:27) - {pstm-100069} Parameters: [816E7F0598D14A8CAF2863926C57802E]
INFO   | jvm 1    | 2014/10/17 11:10:13 | 2014-10-17 11:10:12,641 DEBUG (java.sql.PreparedStatement:27) - {pstm-100069} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:13 | 2014-10-17 11:10:12,645 DEBUG (java.sql.Connection:27) - {conn-100071} Connection
INFO   | jvm 1    | 2014/10/17 11:10:13 | 2014-10-17 11:10:12,645 DEBUG (java.sql.Connection:27) - {conn-100071} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,649 DEBUG (java.sql.PreparedStatement:27) - {pstm-100072} Executing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,898 DEBUG (java.sql.PreparedStatement:27) - {pstm-100072} Parameters: [13FEB82FA102411CACCFBA90FF13A897]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,899 DEBUG (java.sql.PreparedStatement:27) - {pstm-100072} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,902 DEBUG (java.sql.Connection:27) - {conn-100074} Connection
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,902 DEBUG (java.sql.Connection:27) - {conn-100074} Preparing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,906 DEBUG (java.sql.PreparedStatement:27) - {pstm-100075} Executing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:12,907 DEBUG (java.sql.PreparedStatement:27) - {pstm-100075} Parameters: [BCC3DC37164948ABB75E45D6D8F155F8]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,133 DEBUG (java.sql.PreparedStatement:27) - {pstm-100075} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,136 DEBUG (java.sql.Connection:27) - {conn-100077} Connection
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,137 DEBUG (java.sql.Connection:27) - {conn-100077} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,139 DEBUG (java.sql.PreparedStatement:27) - {pstm-100078} Executing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,140 DEBUG (java.sql.PreparedStatement:27) - {pstm-100078} Parameters: [8B52236568124C31B5B128AB7176B222]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,140 DEBUG (java.sql.PreparedStatement:27) - {pstm-100078} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,142  WARN (com.iwell.core.model.internal.MonitorOilWellVoModelManageImpl:607) - 填充对象 - 配置参数 - 没有关联任何数据类别：MonitorArgumentBean [监控参数ID=8B52236568124C31B5B128AB7176B222, 编码=gd00000016, 名称=鍦板眰鍘嬪姏姘村钩, 小数精度=2, 量纲MPA, 最大值0.0, 最小值0.0, 是否启用=Y]
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,423 DEBUG (java.sql.Connection:27) - {conn-100080} Connection
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,423 DEBUG (java.sql.Connection:27) - {conn-100080} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,427 DEBUG (java.sql.PreparedStatement:27) - {pstm-100081} Executing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:14 | 2014-10-17 11:10:13,428 DEBUG (java.sql.PreparedStatement:27) - {pstm-100081} Parameters: [C93488A8C9F8438183E79F1400050941]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,428 DEBUG (java.sql.PreparedStatement:27) - {pstm-100081} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,431  WARN (com.iwell.core.model.internal.MonitorOilWellVoModelManageImpl:607) - 填充对象 - 配置参数 - 没有关联任何数据类别：MonitorArgumentBean [监控参数ID=C93488A8C9F8438183E79F1400050941, 编码=gd00000017, 名称=娌夋病鍘嬪姏锛堣绠楋級, 小数精度=2, 量纲MPa, 最大值0.0, 最小值0.0, 是否启用=Y]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,706 DEBUG (java.sql.Connection:27) - {conn-100083} Connection
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,707 DEBUG (java.sql.Connection:27) - {conn-100083} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,712 DEBUG (java.sql.PreparedStatement:27) - {pstm-100084} Executing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,712 DEBUG (java.sql.PreparedStatement:27) - {pstm-100084} Parameters: [6C6690108F144403AB5C3A4FB7B4E07C]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,713 DEBUG (java.sql.PreparedStatement:27) - {pstm-100084} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,716 DEBUG (java.sql.Connection:27) - {conn-100086} Connection
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:13,717 DEBUG (java.sql.Connection:27) - {conn-100086} Preparing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,041 DEBUG (java.sql.PreparedStatement:27) - {pstm-100087} Executing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,041 DEBUG (java.sql.PreparedStatement:27) - {pstm-100087} Parameters: [6E9EC6FB9F194A5C998BCBD8354C3ACE]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,042 DEBUG (java.sql.PreparedStatement:27) - {pstm-100087} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,046 DEBUG (java.sql.Connection:27) - {conn-100089} Connection
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,046 DEBUG (java.sql.Connection:27) - {conn-100089} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,051 DEBUG (java.sql.PreparedStatement:27) - {pstm-100090} Executing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,337 DEBUG (java.sql.PreparedStatement:27) - {pstm-100090} Parameters: [D84BDB48FDAF4F8F9C9866AD719530BF]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,338 DEBUG (java.sql.PreparedStatement:27) - {pstm-100090} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,342 DEBUG (java.sql.Connection:27) - {conn-100092} Connection
INFO   | jvm 1    | 2014/10/17 11:10:15 | 2014-10-17 11:10:14,343 DEBUG (java.sql.Connection:27) - {conn-100092} Preparing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:16 | 2014-10-17 11:10:14,347 DEBUG (java.sql.PreparedStatement:27) - {pstm-100093} Executing Statement:       select JKYZID, SJLBID, JKYZBM, JKYZMC, QSRQ, ZZRQ, JKYZDW, FXCDID, FXCDBM, QYBZ, JGSFBM, JGSFID, JKYZRQGS, JGSFV1, JGSFV2 from IWELL_FL_JKYZ_CD where SJLBID = ?     
INFO   | jvm 1    | 2014/10/17 11:10:16 | 2014-10-17 11:10:14,348 DEBUG (java.sql.PreparedStatement:27) - {pstm-100093} Parameters: [90AB9E15ABDD430795C8D6CBBC653903]
INFO   | jvm 1    | 2014/10/17 11:10:16 | 2014-10-17 11:10:14,626 DEBUG (java.sql.PreparedStatement:27) - {pstm-100093} Types: [java.lang.String]
INFO   | jvm 1    | 2014/10/17 11:10:16 | 2014-10-17 11:10:14,630 DEBUG (java.sql.Connection:27) - {conn-100095} Connection
INFO   | jvm 1    | 2014/10/17 11:10:16 | 2014-10-17 11:10:14,631 DEBUG (java.sql.Connection:27) - {conn-100095} Preparing Statement:       select SJLBID, CSID, CSLBID, CSLBMC, CYBM from IWELL_FL_SJLB where CSID = ?     
